rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
1,Hagane no Renkinjutsushi: Fullmetal Alchemist,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5114-4CpuT7iWcZ37.png,https://anilist.co/anime/5114/Hagane-no-Renkinjutsushi-Fullmetal-Alchemist/,"['Action', 'Adventure', 'Drama', 'Fantasy']",91,223398,TV Show,64,Spring 2009,Finished,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Hunter x Hunter (2011),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11061-sIpBprNRfzCe.png,https://anilist.co/anime/11061/Hunter-x-Hunter-2011/,"['Action', 'Adventure', 'Fantasy']",90,231623,TV Show,148,2011 - 2014,Finished,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shingeki no Kyojin 3 Part 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104578-LaZYFkmhinfB.jpg,https://anilist.co/anime/104578/Shingeki-no-Kyojin-3-Part-2/,"['Action', 'Drama', 'Fantasy', 'Mystery']",90,136781,TV Show,10,Spring 2019,Finished,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3-gatsu no Lion 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98478-dF3mpSKiZkQu.jpg,https://anilist.co/anime/98478/3gatsu-no-Lion-2/,"['Drama', 'Slice of Life']",90,49515,TV Show,22,Fall 2017,Finished,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Gintama°,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20996-qYCvgsFuF9wk.png,https://anilist.co/anime/20996/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",90,41536,TV Show,51,Spring 2015,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,Steins;Gate,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9253-7pdcVzQSkKxT.jpg,https://anilist.co/anime/9253/SteinsGate/,"['Drama', 'Psychological', 'Sci-Fi', 'Thriller']",90,192661,TV Show,24,Spring 2011,Finished,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
7,Owarimonogatari (Ge),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21745-vHwC1VKoL6zf.png,https://anilist.co/anime/21745/Owarimonogatari-Ge/,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",89,46380,TV Show,7,Summer 2017,Finished,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
8,Gintama',https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9969-XyP8TZwb3L6S.png,https://anilist.co/anime/9969/Gintama/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",89,39436,TV Show,51,Spring 2011,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21698-RL71mr1YU5Io.png,https://anilist.co/anime/21698/Haikyuu-Karasuno-Koukou-VS-Shiratorizawa-Gakuen-Koukou/,"['Comedy', 'Drama', 'Sports']",89,111948,TV Show,10,Fall 2016,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,Koe no Katachi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20954-RYEF5mWglzV8.png,https://anilist.co/anime/20954/Koe-no-Katachi/,"['Drama', 'Romance', 'Slice of Life']",89,192007,Movie,2,Summer 2016,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,Gintama': Enchousen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15417-tElVlFbOTDVp.png,https://anilist.co/anime/15417/Gintama-Enchousen/,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",89,29216,TV Show,13,Fall 2012,Finished,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,Mob Psycho 100 II,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101338-7qOfIaEKSjgl.jpg,https://anilist.co/anime/101338/Mob-Psycho-100-II/,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",88,124129,TV Show,13,Winter 2019,Finished,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
13,Ginga Eiyuu Densetsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/820.jpg,https://anilist.co/anime/820/Ginga-Eiyuu-Densetsu/,"['Drama', 'Sci-Fi']",88,30544,OVA,110,1988 - 1997,Finished,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Haikyuu!! 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20992-aHgNbcalVEqk.png,https://anilist.co/anime/20992/Haikyuu-2/,"['Comedy', 'Drama', 'Sports']",88,124088,TV Show,25,Fall 2015,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,Monogatari Series: Second Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17074-9lBqEOzptpam.png,https://anilist.co/anime/17074/Monogatari-Series-Second-Season/,"['Comedy', 'Mystery', 'Psychological', 'Romance', 'Supernatural']",88,72091,TV Show,26,Summer 2013,Finished,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
16,Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15335-QjijwChGTBs0.png,https://anilist.co/anime/15335/Gintama-Kanketsuhen--Yorozuya-yo-Eien-Nare/,"['Action', 'Comedy', 'Sci-Fi']",88,21097,Movie,1,Summer 2013,Finished,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
