rank,name,link,img_link,Studios,Source,Genres,Popularity,Favorites,type,date,members,score,Watching,Completed,On-Hold,Dropped,Plan_to_Watch,Total,eps,Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen,Thriller,Sci-Fi,Historical,Parody,Samurai,Super Power,Space,Mystery,Game,Seinen,Slice of Life,School,Romance,Supernatural,Vampire,Mecha,Sports,Psychological,Josei,Music,Horror,Police,Martial Arts,Demons,Shoujo,Dementia,Harem,Ecchi,Shounen Ai,Cars,Kids,Shoujo Ai
1,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/r/100x140/images/anime/1223/96541.jpg?s=0c3b98cf4905422c00981025cd20d271,Bones,Manga,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",4,168851,TV,Apr 2009 - Jul 2010,2034891,9.22,153778,1501743,68700,28407,289509,2042137,64,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/r/100x140/images/anime/5/73199.jpg?s=8fe506c27a2eba32611561a2dd116389,White Fox,Visual novel,"['Thriller', 'Sci-Fi']",9,140744,TV,Apr 2011 - Sep 2011,1643267,9.12,106285,1065382,56141,32620,387691,1648119,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gintama°,https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/r/100x140/images/anime/3/72078.jpg?s=bb26d45bb75e13601e1b8029f717c2b0,Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",333,10460,TV,Apr 2015 - Mar 2016,366252,9.11,44650,151766,15259,10561,144910,367146,51,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/r/100x140/images/anime/11/33657.jpg?s=83a033feb002dabca776b6f194171c09,Madhouse,Manga,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']",14,131914,TV,Oct 2011 - Sep 2014,1470485,9.11,200018,963818,68217,27733,217465,1477251,148,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/r/100x140/images/anime/13/13225.jpg?s=8672a3462de209d1b78348d01df76d7b,Artland,Novel,"['Military', 'Sci-Fi', 'Space', 'Drama']",633,13168,OVA,Jan 1988 - Mar 1997,212794,9.1,24522,49084,14145,5577,120134,213462,110,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gintama',https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/4/50361.jpg?s=0fde0801daa3b436029146f401e5e77f,Sunrise,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",360,6049,TV,Apr 2011 - Mar 2012,338575,9.08,24826,177428,9882,6633,120786,339555,51,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1517/100633.jpg?s=63aa0647fb4eba3fd80288489f0a64a4,Wit Studio,Manga,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",81,29259,TV,Apr 2019 - Jul 2019,828773,9.07,48982,677138,5436,2843,97099,831498,10,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,https://cdn.myanimelist.net/r/100x140/images/anime/6/75172.jpg?s=9c0b62c54b4ee3cb939d124baa68c40a,Sunrise,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",660,2317,TV,Oct 2012 - Mar 2013,205740,9.04,7309,133135,2609,1910,61331,206294,13,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/3/88469.jpg?s=4e26ac5f78b5501d6969e9eb528247a9,Shaft,Manga,"['Drama', 'Game', 'Seinen', 'Slice of Life']",558,9962,TV,Oct 2017 - Mar 2018,239881,9.01,19341,133871,6341,2862,77927,240342,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/r/100x140/images/anime/1122/96435.jpg?s=ba7b364bdcb787802fa6be905e944d77,Kyoto Animation,Manga,"['Drama', 'School', 'Shounen']",30,55419,Movie,Sep 2016 - Sep 2016,1208881,9.01,27510,993862,3974,1741,185656,1212743,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://cdn.myanimelist.net/r/100x140/images/anime/5/87048.jpg?s=0c69e78d81c675e0bbceae647b10dc5f,CoMix Wave Films,Original,"['Romance', 'Supernatural', 'School', 'Drama']",11,66294,Movie,Aug 2016 - Aug 2016,1547719,9.0,37750,1305219,4363,2236,201775,1551343,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gintama.,https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/3/83528.jpg?s=c5709cac379ebb2033052a3357967397,Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",748,2118,TV,Jan 2017 - Mar 2017,183440,8.98,11161,104918,3169,2127,62384,183759,12,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Gintama,https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/10/73274.jpg?s=bfda4724d048534799329614778234c8,Sunrise,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",114,45739,TV,Apr 2006 - Mar 2010,702597,8.97,141011,215726,81793,37468,228939,704937,201,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,https://cdn.myanimelist.net/r/100x140/images/anime/10/51723.jpg?s=bb3d98c8accf4dc8510356c856646b10,Sunrise,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",862,2033,Movie,Jul 2013 - Jul 2013,160429,8.97,3461,115352,1177,1140,39616,160746,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,https://cdn.myanimelist.net/r/100x140/images/anime/13/24647.jpg?s=359d1ed60e0139bd38e9cf9eddf82d04,Kyoto Animation,Visual novel,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",75,59796,TV,Oct 2008 - Mar 2009,862023,8.96,27709,610778,15698,12592,197114,863891,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/6/87322.jpg?s=5d0ef74fd5c7e44a1e695e85d0b86331,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",532,5648,TV,Aug 2017 - Aug 2017,251566,8.93,10959,147142,3435,1577,88804,251917,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,https://cdn.myanimelist.net/r/100x140/images/anime/4/9391.jpg?s=a23e555ee6862582a989e0cb4cccd0e5,Sunrise,Original,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",33,60860,TV,Apr 2008 - Sep 2008,1183153,8.91,35012,995352,16423,11629,128087,1186503,25,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://cdn.myanimelist.net/r/100x140/images/anime/7/81992.jpg?s=b241bc153f456bb54b738ab507d6d5db,Production I.G,Manga,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",138,11419,TV,Oct 2016 - Dec 2016,623577,8.9,25201,528345,4710,2740,64460,625456,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/r/100x140/images/anime/1918/96303.jpg?s=51c465145beb577d45305bca91984d7a,Bones,Web manga,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",106,18099,TV,Jan 2019 - Apr 2019,724866,8.86,53923,535802,9283,3388,124133,726529,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,https://cdn.myanimelist.net/r/100x140/images/anime/1776/96566.jpg?s=a87ac154753a26bfed4dbd557a8544ba,Bandai Namco Pictures,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1310,778,TV,Jul 2018 - Oct 2018,101148,8.85,5996,59024,1600,983,33760,101363,14,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,https://cdn.myanimelist.net/r/100x140/images/anime/1400/104685.jpg?s=83b747306190b5efdd49b3dab093dbbc,ufotable,Visual novel,"['Action', 'Supernatural', 'Magic', 'Fantasy']",1304,864,Movie,Aug 2020 - Aug 2020,101993,8.84,2179,7772,872,131,91039,101993,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://cdn.myanimelist.net/r/100x140/images/anime/6/79597.jpg?s=63a85532fc52356a938354277201d43c,Studio Ghibli,Original,"['Adventure', 'Supernatural', 'Drama']",40,23949,Movie,Jul 2001 - Jul 2001,1146841,8.84,13191,1039331,2925,1368,94509,1151324,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/8/82911.jpg?s=03fe608f06401989989654d61bb8bc5f,Shaft,Light novel,"['Action', 'Mystery', 'Supernatural', 'Vampire']",450,4352,Movie,Jan 2017 - Jan 2017,286235,8.82,6492,201089,1891,912,76438,286822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/r/100x140/images/anime/12/89603.jpg?s=d1ae6c96378fe82ecb9481705060774c,Bandai Namco Pictures,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1195,901,TV,Jan 2018 - Mar 2018,114410,8.8,7831,67903,1981,1165,35763,114643,12,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
