id,title,main_picture,ranking,popularity,start_date,related_anime,related_manga,mean,genres,scoring_users,media_type,serialization,list_users,Genres,Action,Adventure,Fantasy,Psychological,Supernatural,Military,Demons,Drama,Horror,Seinen,Historical,Mystery,Shounen,Comedy,Super Power,Samurai,Slice of Life,Sports,School,Romance,Vampire,Sci-Fi,Ecchi,Game,Shoujo,Space,Thriller,Parody,Magic,Music,Shoujo Ai,Mecha,Josei,Shounen Ai,Gender Bender,Harem,Martial Arts,Kids,Police,Dementia,Cars
2,Berserk,https://api-cdn.myanimelist.net/images/manga/1/157931.jpg,1,3,1989-08-25,[],"[{'node': {'id': 92299, 'title': 'Berserk: Shinen no Kami 2', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/162254.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/162254l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 106677, 'title': 'Berserk: Honoo Ryuu no Kishi', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/202490.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/202490l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}]",9.34,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 40, 'name': 'Psychological'}, {'id': 37, 'name': 'Supernatural'}, {'id': 38, 'name': 'Military'}, {'id': 6, 'name': 'Demons'}, {'id': 8, 'name': 'Drama'}, {'id': 14, 'name': 'Horror'}, {'id': 41, 'name': 'Seinen'}]",152744,manga,"[{'node': {'id': 2, 'name': 'Young Animal'}}]",325987,"['Action', 'Adventure', 'Fantasy', 'Psychological', 'Supernatural', 'Military', 'Demons', 'Drama', 'Horror', 'Seinen']",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,https://api-cdn.myanimelist.net/images/manga/3/179882.jpg,2,40,2004-01-19,[],"[{'node': {'id': 3009, 'title': 'JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/75929.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/75929l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 25515, 'title': 'JoJo no Kimyou na Bouken Part 8: JoJolion', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/179885.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/179885l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]",9.22,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 37, 'name': 'Supernatural'}, {'id': 13, 'name': 'Historical'}, {'id': 7, 'name': 'Mystery'}, {'id': 14, 'name': 'Horror'}, {'id': 27, 'name': 'Shounen'}]",65438,manga,"[{'node': {'id': 25, 'name': 'Ultra Jump'}}]",114054,"['Action', 'Adventure', 'Supernatural', 'Historical', 'Mystery', 'Horror', 'Shounen']",1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Fullmetal Alchemist,https://api-cdn.myanimelist.net/images/manga/1/27600.jpg,3,11,2001-07-12,[],"[{'node': {'id': 4658, 'title': 'Fullmetal Alchemist', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/202288.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/202288l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 32409, 'title': 'Full Metal Alchemist: Prototype', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/59421.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/59421l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}]",9.11,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 38, 'name': 'Military'}, {'id': 8, 'name': 'Drama'}, {'id': 27, 'name': 'Shounen'}]",115785,manga,"[{'node': {'id': 13, 'name': 'Shounen Gangan'}}]",207619,"['Action', 'Adventure', 'Comedy', 'Military', 'Drama', 'Shounen']",1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,One Piece,https://api-cdn.myanimelist.net/images/manga/3/55539.jpg,4,2,1997-07-22,[],"[{'node': {'id': 793, 'title': 'Wanted!', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/170782.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/170782l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 5114, 'title': 'Romance Dawn', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/15127.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/15127l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 17152, 'title': 'One Piece: Strong World', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/25743.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/25743l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 14414, 'title': 'One Piece Log Book Omake', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/20619.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/20619l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 52353, 'title': 'Chopperman', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/114119.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/114119l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 23251, 'title': 'Chopperman: Yuke Yuke! Minna no Chopper-sensei', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/65203.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/65203l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 25146, 'title': 'One Piece x Toriko', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/40484.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/40484l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 881, 'title': 'Cross Epoch', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/5/148053.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/5/148053l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 86972, 'title': 'One Piece Party', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/165199.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/165199l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 94533, 'title': 'One Piece: Taose! Kaizoku Ganzack', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/178412.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/178412l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 94534, 'title': 'One Piece: Loguetown-hen', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/167765.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/167765l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 114760, 'title': 'Shokugeki no Sanji', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/211533.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/211533l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 115627, 'title': 'One Piece: Koby-ni no Kobiyama - Uri Futatsunagi no Daihihou', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/222839.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/222839l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 120401, 'title': 'Koisuru One Piece', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/222841.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/222841l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 120865, 'title': 'One Piece: Roronoa Zoro, Umi ni Chiru', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/230353.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/230353l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 120656, 'title': 'Gekijouban One Piece: Stampede', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/230439.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/230439l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 110830, 'title': 'One Piece Novel: Mugiwara Stories', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/232215.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/232215l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 127114, 'title': 'One Piece Novel: A', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/232216.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/232216l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 122305, 'title': 'One Piece Gakuen', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/233977.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/233977l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}]",9.09,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 31, 'name': 'Super Power'}, {'id': 4, 'name': 'Comedy'}, {'id': 27, 'name': 'Shounen'}]",201262,manga,"[{'node': {'id': 83, 'name': 'Shounen Jump (Weekly)'}}]",332373,"['Action', 'Adventure', 'Fantasy', 'Super Power', 'Comedy', 'Shounen']",1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Monster,https://api-cdn.myanimelist.net/images/manga/3/54525.jpg,5,41,1994-12-05,[],"[{'node': {'id': 10968, 'title': 'Mou Hitotsu no Monster: The Investigative Report', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/14776.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/14776l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",9.08,"[{'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Seinen'}]",45115,manga,"[{'node': {'id': 1, 'name': 'Big Comic Original'}}]",113363,"['Drama', 'Mystery', 'Psychological', 'Seinen']",0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,Vagabond,https://api-cdn.myanimelist.net/images/manga/2/181787.jpg,6,19,1998-09-03,[],[],9.08,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 21, 'name': 'Samurai'}, {'id': 13, 'name': 'Historical'}, {'id': 8, 'name': 'Drama'}, {'id': 41, 'name': 'Seinen'}]",51785,manga,"[{'node': {'id': 72, 'name': 'Morning'}}]",150852,"['Action', 'Adventure', 'Samurai', 'Historical', 'Drama', 'Seinen']",1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4632,Oyasumi Punpun,https://api-cdn.myanimelist.net/images/manga/3/164420.jpg,7,12,2007-03-15,[],[],9.04,"[{'id': 40, 'name': 'Psychological'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 8, 'name': 'Drama'}, {'id': 41, 'name': 'Seinen'}]",79224,manga,"[{'node': {'id': 3, 'name': 'Big Comic Spirits'}}]",204296,"['Psychological', 'Slice of Life', 'Drama', 'Seinen']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70345,Grand Blue,https://api-cdn.myanimelist.net/images/manga/2/166124.jpg,8,66,2014-04-07,[],[],9.01,"[{'id': 4, 'name': 'Comedy'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 41, 'name': 'Seinen'}]",30864,manga,"[{'node': {'id': 316, 'name': 'good! Afternoon'}}]",87161,"['Comedy', 'Slice of Life', 'Seinen']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Slam Dunk,https://api-cdn.myanimelist.net/images/manga/2/157904.jpg,9,81,1990-09-18,[],"[{'node': {'id': 130949, 'title': 'Slam Dunk: 10 Days After', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/236651.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/236651l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]",9.0,"[{'id': 30, 'name': 'Sports'}, {'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}, {'id': 8, 'name': 'Drama'}, {'id': 27, 'name': 'Shounen'}]",37940,manga,"[{'node': {'id': 83, 'name': 'Shounen Jump (Weekly)'}}]",78130,"['Sports', 'Comedy', 'School', 'Drama', 'Shounen']",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16765,Kingdom,https://api-cdn.myanimelist.net/images/manga/2/171872.jpg,10,75,2006-01-26,[],"[{'node': {'id': 56681, 'title': 'Kingdom - Soushuuhen', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/99785.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/99785l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",9.0,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 41, 'name': 'Seinen'}]",31587,manga,"[{'node': {'id': 87, 'name': 'Young Jump'}}]",82841,"['Action', 'Drama', 'Historical', 'Military', 'Seinen']",1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
