rank,Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales
1,One Piece,Eiichiro Oda,Shueisha,Shōnen,97,1997–present,470 million
2,Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,250–300 million
3,Golgo 13,Takao Saito,Shogakukan,Seinen,197,1968–present,280 million
4,Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250 million
5,Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,98,1994–present,230 million
6,Black Jack,Osamu Tezuka,Akita Shoten,Shōnen,25,1973–1983,176 million
7,KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,200,1976–2016,157 million
8,Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),130 million
9,Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,126 million
10,Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,120 million
11,Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotōge,Shueisha,Shōnen,23,2016–2020,120 million
12,Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100 million
13,Attack on Titan,Hajime Isayama,Kodansha,Shōnen,32,2009–present,100 million
14,Doraemon,Fujiko Fujio,Shogakukan,Children,45,1969–1996,100 million
15,Fist of the North Star,Buronson,Shueisha,Shōnen,27,1983–1988,100 million
16,JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,127,1987–present,100 million
17,The Kindaichi Case Files,Yōzaburō Kanari,Kodansha,Shōnen/Seinen,86,1992–present,100 million
18,Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100 million
19,Hajime no Ippo,George Morikawa,Kodansha,Shōnen,127,1989–present,96 million
20,Sazae-san,Machiko Hasegawa,Kodansha,,45,1946–1974,86 million
21,Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998–2015 (on hiatus),82 million
22,Captain Tsubasa,Yōichi Takahashi,Shueisha,Shōnen/Seinen,92,1981–present,80 million
23,Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,Shōnen,60,1971–1986,80 million
24,Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,36,1998–2018 (on hiatus),78 million
25,Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,132,1991–present,75 million
26,Kinnikuman,Yudetamago,Shueisha,Shōnen/Seinen,65,1979–present,75 million
27,Fairy Tail,Hiro Mashima,Kodansha,Shōnen,63,2006–2017,72 million
28,Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shōnen,28,1994–1999,72 million
29,Fullmetal Alchemist,Hiromu Arakawa,Enix,Shōnen,27,2001–2010,70.3 million
30,Kingdom,Yasuhisa Hara,Shueisha,Seinen,59,2006–present,68 million
31,Boys Over Flowers,Yoko Kamio,Shueisha,Shōjo,37,1992–2003,61 million
32,Rokudenashi Blues,Masanori Morita,Shueisha,Shōnen,42,1988–1997,60 million
33,Shoot!,Tsukasa Ooshima,Kodansha,Shōnen,33,1990–2003,60 million
34,The Prince of Tennis,Takeshi Konomi,Shueisha,Shōnen,42,1999–2008,60 million
35,Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,Seinen,22,1988–1996,55 million
36,Gin Tama,Hideaki Sorachi,Shueisha,Shōnen,77,2003–2019,55 million
37,H2,Mitsuru Adachi,Shogakukan,Shōnen,34,1992–1999,55 million
38,Major,Takuya Mitsuda,Shogakukan,Shōnen,78,1994–2010,54 million
39,Minami no Teiō,Dai Tennōji,Nihon Bungeisha,Shōnen,152,1992–present,53 million
40,Ranma ½,Rumiko Takahashi,Shogakukan,Shōnen,38,1987–1996,53 million
41,City Hunter,Tsukasa Hojo,Shueisha,Shōnen,35,1985–1991,50 million
42,Cobra,Buichi Terasawa,Shueisha,Shōnen,18,1978–1984,50 million
43,Devilman,Go Nagai,Kodansha,Shōnen,5,1972–1973,50 million
44,Dragon Quest: Dai no Daibōken,Riku Sanjo,Shueisha,Shōnen,37,1989–1996,50 million
45,Glass Mask,Suzue Miuchi,Hakusensha,Shōjo,49,1976–present,50 million
46,Great Teacher Onizuka,Tooru Fujisawa,Kodansha,Shōnen,25,1997–2002,50 million
47,Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995–2013,50 million
48,Inuyasha,Rumiko Takahashi,Shogakukan,Shōnen,56,1996–2008,50 million
49,Yu Yu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990–1994,50 million
50,Haikyū!!,Haruichi Furudate,Shueisha,Shōnen,45,2012–2020,50 million
51,Dokaben,Shinji Mizushima,Akita Shoten,Shōnen,48,1972–1981,48 million
52,Crows,Hiroshi Takahashi,Akita Shoten,Shōnen,26,1990–1998,46 million
